pathway	external_id	source	hgnc_symbol_ids
Synthesis of dolichyl-phosphate mannose	R-HSA-162699	Reactome	DPM3,DPM2,DPM1
IRAK2 mediated activation of TAK1 complex upon TLR7/8 or 9 stimulation	R-HSA-975163	Reactome	TRAF6,TAB3,TAB2,TAB1,MAP3K7,IRAK2
Prolonged ERK activation events	R-HSA-169893	Reactome	NGF,CRKL,NTRK1,RAP1A,KIDINS220,PLCG1,BRAF,YWHAB,CRK,FRS2,RAPGEF1
Signalling to ERKs	R-HSA-187687	Reactome	NGF,CRKL,HRAS,RIT2,RIT1,FRS2,MAPK14,PLCG1,RAPGEF1,CRK,MAPKAPK3,MAPKAPK2,SHC1,NRAS,NTRK1,YWHAB,SRC,RALGDS,SHC2,SHC3,KIDINS220,RAP1A,KRAS,SOS1,GRB2,BRAF,RALB,RALA,MAPK11
Synthesis of dolichyl-phosphate-glucose	R-HSA-480985	Reactome	NUDT14,ALG5
PLC-gamma1 signalling	R-HSA-167021	Reactome	NGF,PLCG1,NTRK1
UCH proteinases	R-HSA-5689603	Reactome	PSMF1,NFRKB,BARD1,PSMC4,UBA52,UBB,UBC,ACTB,FOXK2,FOXK1,RPS27A,INO80,RUVBL1,ASXL1,ASXL2,SENP8,PSMD14,PSMD11,PSMD10,PSMD13,PSMD12,ACTR8,ACTR5,HIST3H2A,KDM1B,YY1,PSMB11,PSMB10,SMAD7,NEDD8,INO80B,TFPT,INO80C,PSMA2,PSMA3,PSMA1,PSMA6,PSMA7,PSMA4,PSMA5,PSMA8,HIST2H2AA3,HIST2H2AA4,TGFBR2,TGFBR1,UCHL5,PSMD2,UCHL1,UCHL3,PSMB9,PSMB8,PSMB7,PSMB6,PSMB5,PSMB4,PSMB3,PSMB2,PSMB1,TGFB1,PSMD9,PSMD8,PSMD5,PSMD4,PSMD7,PSMD6,PSMD1,PSMD3,MCRS1,HIST1H2AM,HIST1H2AL,HIST1H2AI,HIST1H2AH,HIST1H2AK,HIST1H2AJ,HIST1H2AE,HIST1H2AD,HIST1H2AG,HIST1H2AA,HIST1H2AC,HIST1H2AB,HCFC1,PSMC1,PSMC2,PSMC3,ADRM1,PSMC5,PSMC6,PSME4,PSME2,PSME3,PSME1,USP15,INO80D,INO80E,HIST2H2AB,HIST2H2AC,SEM1,OGT,MBD5,MBD6,ACTL6A,BAP1
DCC mediated attractive signaling	R-HSA-418885	Reactome	SRC,TRIO,PTK2,NCK1,ASB15,NTN1,DOCK1,FYN,DCC,RAC1,ABLIM1,WASL,ABLIM3,ABLIM2,CDC42
Packaging Of Telomere Ends	R-HSA-171306	Reactome	HIST1H4C,HIST1H4B,HIST1H4A,HIST1H4F,HIST1H4E,ACD,HIST1H2AK,HIST1H4J,HIST1H4I,HIST1H4H,POT1,HIST1H4L,HIST2H2BE,HIST1H2AJ,HIST1H2AE,HIST1H2AD,HIST2H4B,HIST1H2AC,HIST2H4A,HIST4H4,HIST1H4D,H2AFB1,HIST2H2AC,HIST1H4K,HIST2H2AA3,HIST2H2AA4,H2BFS,HIST1H2BD,HIST1H2BE,HIST1H2BF,HIST1H2BG,HIST3H2BB,TERF2IP,HIST1H2BB,HIST1H2BC,HIST1H2BL,HIST1H2BM,HIST1H2BN,HIST1H2BO,HIST1H2BH,HIST1H2BI,HIST1H2BJ,HIST1H2BK,H2AFV,HIST1H2AB,TINF2,H2AFX,H2AFZ,TERF2,TERF1,HIST3H3,H2AFJ,HIST1H2BA
Telomere Maintenance	R-HSA-157579	Reactome	HIST1H4C,HIST1H4B,HIST1H4A,HIST1H2AK,RFC4,HIST1H4F,HIST1H4E,ACD,RFC5,RPA1,HIST1H4I,HIST1H4H,TERF1,POLA1,POT1,RFC2,POLE,NHP2,H2AFZ,HIST2H2BE,HIST1H2AJ,HIST1H2AE,HIST1H2AD,HIST2H4B,HIST1H2AC,HIST1H2AB,RFC3,DNA2,RUVBL1,RUVBL2,H2BFS,HIST1H4D,HIST1H4L,H2AFB1,HIST2H2AC,POLD1,POLD2,POLD3,PRIM1,LIG1,HIST1H2BG,PRIM2,POLD4,HIST2H2AA3,HIST2H2AA4,POLA2,PCNA,HIST2H4A,WRAP53,RFC1,HIST1H2BD,HIST1H2BE,HIST1H2BF,HIST4H4,HIST3H2BB,HIST1H2BA,HIST1H2BB,HIST1H2BC,HIST1H2BL,HIST1H2BM,HIST1H2BN,HIST1H2BO,HIST1H2BH,HIST1H2BI,HIST1H2BJ,HIST1H2BK,H2AFV,TERT,TINF2,H2AFX,RPA3,RPA2,TERF2,POLE4,POLE3,POLE2,HIST1H4K,DKC1,FEN1,HIST3H3,HIST1H4J,H2AFJ,TERF2IP
Chromosome Maintenance	R-HSA-73886	Reactome	HIST1H4C,HIST1H4B,HIST1H4A,HIST1H4F,HIST1H4E,HIST1H4D,HIST1H4K,HIST1H4J,HIST1H4I,HIST1H4H,CENPS-CORT,HIST1H4L,RARA,H2AFB1,PRIM1,LIG1,PRIM2,H2BFS,CENPN,CENPM,CENPL,CENPK,OIP5,CENPI,CENPH,CENPC,CENPA,HIST3H2BB,TERF2IP,CENPX,CENPW,CENPU,CENPT,CENPS,CENPQ,CENPP,H2AFV,H2AFX,H2AFZ,RBBP4,TERF2,TERF1,HIST3H3,H2AFJ,RBBP7,NHP2,RUVBL1,RUVBL2,HIST1H2BD,HIST1H2BE,HIST1H2BF,HIST1H2BG,HIST1H2BA,HIST1H2BB,HIST1H2BC,HIST1H2BL,HIST1H2BM,HIST1H2BN,HIST1H2BO,HIST1H2BH,HIST1H2BI,HIST1H2BJ,HIST1H2BK,POLE4,POLE3,POLE2,MIS18A,ACD,RFC5,RFC4,RFC1,RFC3,RFC2,POLE,CENPO,POLD1,POLD2,POLD3,POLD4,KNL1,HIST2H2AA3,HIST2H2AA4,ALK,FEN1,POLA2,POLA1,HIST2H2BE,ITGB3BP,HIST1H2AK,HIST1H2AJ,HIST1H2AE,HIST1H2AD,HIST2H4B,HIST1H2AC,HIST2H4A,DNA2,HJURP,TERT,PCNA,MIS18BP1,HIST4H4,WRAP53,NPM1,HIST2H2AC,POT1,HIST1H2AB,TINF2,RPA1,RPA3,RPA2,DKC1
proteasome complex	proteasomepathway	BioCarta	RPN1,RPN2,PSMD4,PSMD3,UBE3A,PSMA2,PSMA3,PSMA1,PSMA6,PSMA7,PSMA4,PSMA5,UBA1,UBE2A,PSMD14,PSMD11,PSMD12,PSMB7,PSMB6,PSMB5,PSMB4,PSMB3,PSMB2,PSMB1
Bicarbonate transporters	R-HSA-425381	Reactome	SLC4A10,AHCYL2,SLC4A5,SLC4A4,SLC4A7,SLC4A1,SLC4A3,SLC4A2,SLC4A9,SLC4A8
SMAC binds to IAPs 	R-HSA-111463	Reactome	CASP7,XIAP,CASP9,CASP3,DIABLO
ERKs are inactivated	R-HSA-202670	Reactome	PPP2R1A,PPP2R1B,VRK3,PPP2CA,PPP2CB,MAPK3,MAPK1,MAPK7,PPP2R5D,DUSP4,DUSP7,DUSP6,DUSP3
Signaling by NTRK1 (TRKA)	R-HSA-187037	Reactome	PPP2R1A,PPP2R1B,MAP2K5,CRKL,HRAS,NGF,RIT1,FRS2,MAPK14,PLCG1,CLTA,MAPK11,ADCYAP1,DNM2,CRK,ADCYAP1R1,MAPKAPK3,MAPKAPK2,SHC1,ADORA2A,AP2S1,STAT3,SHC2,DNM3,PIK3CA,PIK3CB,NRAS,NTRK1,NTRK2,AP2B1,AP2M1,MAPK3,GRB2,MAPK7,PIK3R1,YWHAB,DUSP4,DUSP7,DUSP6,DUSP3,PIK3R2,SRC,RALGDS,VRK3,SHC3,KIDINS220,CREB1,RIT2,SH3GL2,AP2A1,RAP1A,AP2A2,CLTC,RHOA,KRAS,RPS6KA1,RPS6KA2,RPS6KA3,RPS6KA5,SOS1,PPP2CA,PPP2CB,IRS1,IRS2,MEF2C,MAPK1,MEF2A,ELK1,BRAF,PPP2R5D,DNM1,DNAL4,ATF1,RALB,RALA,RAPGEF1
4-hydroxybenzoate biosynthesis	PWY-5754	HumanCyc	TAT
TAK1 activates NFkB by phosphorylation and activation of IKKs complex	R-HSA-445989	Reactome	NFKBIB,HMGB1,NFKBIA,AGER,SAA1,IKBKB,RIPK2,IKBKG,S100A12,S100B,MAP3K7,NOD1,NOD2,IRAK2,NFKB1,TMEM189,MYD88,DHX9,TRAF6,NFKB2,CHUK,UBE2V1,RELA,NKIRAS2,NKIRAS1,IRAK1,UBE2N,TAB3,TAB2,APP,TMEM189-UBE2V1,TAB1
GPCR GroupI metabotropic glutamate receptor	None	INOH	PLCB1,MAP2K2,MAP2K1,ARAF,RAF1,MAPK3,GNB5,MAPK1,GRM5,GRM1,GNGT2,PRKCI,PRKCH,PLCB2,PLCB3,PLCB4,PRKCA,PRKCB,PRKCE,PRKCD,GNB3,PRKCZ,PRKCG,PRKCQ,ITPR3,ITPR1,GNAQ,BRAF
Netrin mediated repulsion signals	R-HSA-418886	Reactome	SRC,PTK2,UNC5B,NTN1,PTPN11,UNC5A,FYN,DCC,UNC5D,UNC5C
BDNF activates NTRK2 (TRKB) signaling	R-HSA-9024909	Reactome	BDNF,NTRK2
Glyoxylate metabolism and glycine degradation	R-HSA-389661	Reactome	GRHPR,PRODH2,GNMT,LIPT1,AGXT2,DHTKD1,LIPT2,NDUFAB1,OGDH,GLDC,DAO,GOT2,PDHB,AMT,PDHA2,PDHX,PDHA1,LIAS,MRPL30,DLD,DLAT,DDO,PXMP2,HOGA1,ALDH4A1,DLST,AGXT,BCKDHB,BCKDHA,HAO1,DBT,GCSH
TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest	R-HSA-6804114	Reactome	PCNA,CCNB1,E2F4,TP53,RBL1,RBL2,CDC25C,GADD45A,ZNF385A,PRMT1,CARM1,BAX,SFN,CDK1,AURKA,EP300,TFDP2,TFDP1
FasL/ CD95L signaling	R-HSA-75157	Reactome	CASP10,FAS,FASLG,CASP8,FADD
JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1	R-HSA-450321	Reactome	MAPK9,TRAF6,UBE2N,TAB3,TAB2,TAB1,NOD2,MAP3K7,MAP2K7,TMEM189-UBE2V1,NOD1,IKBKG,MAPK10,MAP2K4,IRAK2,UBE2V1,TMEM189,IRAK1,RIPK2,MAPK8
Regulation of PLK1 Activity at G2/M Transition	R-HSA-2565942	Reactome	DYNLL1,PLK1,PLK4,CETN2,BORA,ALMS1,CSNK1D,CSNK1E,OFD1,MAPRE1,CUL1,CENPJ,CEP192,PAFAH1B1,SFI1,TUBB4A,AKAP9,CEP290,UBA52,CEP70,CEP72,UBC,CEP78,FBXW11,PCM1,RPS27A,TUBB4B,NEK2,HAUS8,HAUS6,HAUS7,TUBA1A,HAUS5,HAUS2,HAUS3,HAUS1,NINL,ODF2,UBB,RAB8A,CCP110,CEP76,TUBB,SDCCAG8,PRKAR2B,DCTN2,DCTN3,DCTN1,CEP164,OPTN,SKP1,NEDD1,PPP1R12A,PPP1R12B,CEP250,CEP41,CEP152,CDK1,PRKACA,CDK5RAP2,HSP90AA1,PPP2R1A,CEP131,CEP57,NDE1,DYNC1I2,AURKA,AJUBA,YWHAG,YWHAE,CLASP1,SSNA1,CEP63,FGFR1OP,PCNT,DYNC1H1,TUBA4A,CCNB2,CCNB1,PPP1CB,BTRC,CEP135,TUBG1,ACTR1A,CNTRL,HAUS4,CKAP5
NTF3 activates NTRK2 (TRKB) signaling	R-HSA-9025046	Reactome	NTF3,NTRK2
Role of second messengers in netrin-1 signaling	R-HSA-418890	Reactome	NTN1,PLCG1,PITPNA,DCC
tpo signaling pathway	tpopathway	BioCarta	HRAS,MAP2K1,RAF1,STAT3,STAT1,PIK3CA,JUN,THPO,MAPK3,ELK1,JAK2,PIK3R1,SHC1,FOS,PRKCA,PRKCB,CSNK2A3,RASA1,CSNK2A1,SOS1,MPL,PLCG1,STAT5B,STAT5A,GRB2
Glutamate Glutamine metabolism	None	INOH	GLUD1P5,GSS,GSR,ALDH3A2,ALDH1B1,GLUL,ALDH2,ABAT,GLS,GAD1,GAD2,CAD,GCLM,GCLC,ALDH1A1,EPRS,ALDH9A1,ALDH7A1,GPT,QARS,ALDH4A1,GPT2,GLUD2,GLUD1,ALDH5A1,CPS1,GLS2
Extrinsic Pathway of Fibrin Clot Formation	R-HSA-140834	Reactome	F9,F10,F3,F7,TFPI
Purine salvage	R-HSA-74217	Reactome	PNP,DCK,AMPD3,AMPD2,AMPD1,DGUOK,APRT,ADAL,ADA,GMPR2,HPRT1,ADK,GMPR
Cellular hexose transport	R-HSA-189200	Reactome	SLC2A12,SLC2A14,SLC2A9,SLC2A8,SLC2A7,SLC2A6,SLC2A4,SLC2A3,SLC2A2,SLC45A3,SLC2A10,SLC5A1,SLC5A2,SLC5A4,SLC2A11,SLC5A10,SLC5A9,MFSD4B,SLC2A1,SLC50A1,FGF21
Transport of Mature mRNA derived from an Intron-Containing Transcript	R-HSA-159236	Reactome	NUP88,NXF2B,AAAS,NCBP1,NCBP2,NUP35,NUP85,DHX38,SRSF2,SRSF11,FYTTD1,NUP43,NXF1,SRSF5,SRSF4,SRSF7,SRSF6,NUP62,RBM8A,SRSF3,DDX39A,U2AF1,U2AF2,SRSF9,NDC1,POLDIP3,NUP188,DNAJC14,NUP214,NUP210,MAGOH,SARNP,NUP133,POM121,RNPS1,NXF2,NUP98,NUP160,CHTOP,NUP93,ALYREF,DDX39B,LUZP4,U2AF1L4,NUP50,RAE1,NUPL2,THOC3,THOC2,THOC1,THOC7,THOC6,THOC5,CASC3,SRSF1,ZC3H11A,NUP54,SRRM1,NUP58,MAGOHB,SLU7,NUP37,NUP153,UPF3B,NUP107,NXT1,EIF4A3,NUP155,SEH1L,RANBP2,CDC40,NUP205,TPR
Nef mediated downregulation of CD28 cell surface expression	R-HSA-164939	Reactome	AP2M1,CD28
Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	R-HSA-2173793	Reactome	HDAC1,TRIM33,SMAD7,MEN1,SMAD2,SMAD3,USP9X,CCNT1,CCNT2,SKI,NCOR2,NCOR1,SMURF2,PPM1A,SMAD4,RNF111,RPS27A,RBL1,SP1,ATP1B4,CCNC,PARP1,E2F4,SKIL,E2F5,SNW1,WWTR1,TGIF2,NEDD4L,UBA52,TGIF1,UBB,UBC,CDK8,CDK9,TFDP2,TFDP1,CCNK
downregulated of mta-3 in er-negative breast tumors	mta3pathway	BioCarta	HDAC1,GREB1,TUBA8,ALDOA,TUBA3D,ESR1,TUBA1C,TUBA1A,HSPB1,CTSD,TUBA3C,GAPDH,SNAI2,PDZK1,MBD3,SNAI3,CDH1,TUBA4A,TUBA4B,SNAI1,MTA3
WNT5A-dependent internalization of FZD4	R-HSA-5099900	Reactome	AP2M1,AP2S1,PRKCB,FZD4,ARRB2,PRKCA,CLTB,PRKCG,DVL2,AP2A1,CLTC,AP2A2,CLTA,WNT5A,AP2B1
activated TAK1 mediates p38 MAPK activation	R-HSA-450302	Reactome	MAP2K3,TRAF6,UBE2N,TAB3,TAB2,TAB1,MAP3K7,MAPK14,RIPK2,TMEM189-UBE2V1,NOD1,MAPK11,MAP2K6,NOD2,IRAK2,UBE2V1,TMEM189,IRAK1,MAPKAPK3,MAPKAPK2,IKBKG
GPCR signaling-G alpha i	None	INOH	LIF,ADCY5,NRG2,EPO,CCK,BDNF,AGT,EGF,IFNW1,CXCR2,WNT10A,WNT10B,RGS6,INHBA,INHBB,INHBC,INHBE,IFNA13,EDN3,EDN2,IFNA17,IFNA16,IFNA14,ADCY4,LHB,BMP8B,GIP,IFNG,ADCY6,JAG2,ADCY7,FASLG,SCT,KITLG,NRG3,GH1,DBI,PYY,BMP5,BMP4,BMP3,BMP2,ADCY2,ADCY3,CXCL8,ADCY8,ADCY9,CSF2,CSF3,IL10,VIP,NPY,GRM2,WNT2,NPPA,WNT7A,IFNA1,WNT7B,NGF,TNFSF10,IHH,EDN1,ADORA1,TSHB,ADORA3,IL18,IL15,IL6,RGS18,IL1A,FZD10,IFNA4,GAST,TGFA,ADORA2A,ADORA2B,GCG,FGF17,IL4,IFNA10,PRLH,IFNA21,GRM8,GRM4,GRM5,GRM6,GRM7,GRM1,GDF11,GRM3,IGF2,TRH,RGS5,IGF1,GRP,AREG,OXT,VEGFD,MSTN,VEGFA,FGF9,FGF8,SHH,FGF6,FGF5,FGF4,FGF3,FGF2,FGF1,INHA,PRL,GNAS,SST,AVP,ADCY1,INS,FZD8,GDF10,FZD9,AGTR2,WNT5A,FGF22,FGF23,FGF20,FGF21,WNT3A,GHRH,CD40LG,VEGFC,NODAL,VEGFB,SMO,FGF7,ADCY10,NRG4,IL1B,IFNB1,GNAI2,GNAI1,FZD1,FZD2,FZD3,FZD4,FZD5,FZD6,FZD7,CGA,CD80,WNT9B,CD86,HBEGF,FGF19,FGF18,WNT6,FGF13,FGF11,FGF10,RGS7,FGF16,FGF14,NTF3,NTF4,IL17A,GNB5,CGB5,CGB7,WNT5B,GNB3,CGB3,DLL1,LTA,DLL3,DLL4,IL16,POMC,NDP,WNT8B,RGS16,RGS17,RGS14,IFNA8,RGS12,RGS13,RGS10,RGS11,WNT3,IFNA2,WNT1,IL13,IFNA7,IFNA6,IFNA5,RGS19,LEP,IL7,KNG1,IL5,EREG,GNRH1,BMP7,IL9,TGFB1,TGFB2,TGFB3,IL12B,IL12A,BMP10,BMP15,BMP6,CGB8,CRH,GDF9,RGS20,FSHB,TMIGD3,GDF2,TAC3,GDF7,GDF6,GDF5,THPO,RGS4,WNT8A,CXCR1,GAL,RGS1,RGS2,RGS3,NRG1,PPY,JAG1,RGS8,RGS9,GDNF,WNT2B,PDGFA,PDGFB,BTC,DHH,MLN,TXLNA,IL11,WNT4,TNF,WNT16,HGF,AGTR1,CSH2,CSH1,IL3,DRD4,DRD5,DRD2,DRD3,DRD1,GDF3,GNGT2,WNT9A,TAC1,CALCA,CALCB,WNT11
WNT5A-dependent internalization of FZD2, FZD5 and ROR2	R-HSA-5140745	Reactome	WNT5A,FZD2,FZD5,ROR1,ROR2
PCP/CE pathway	R-HSA-4086400	Reactome	DVL2,RYK,RPS27A,CLTA,CLTC,CLTB,VANGL2,AP2B1,SMURF1,PRICKLE1,FZD2,FZD3,FZD4,FZD5,FZD6,FZD7,FZD8,PARD6A,AP2M1,DVL3,DVL1,FZD1,RAC2,RAC3,RAC1,PRKCA,DAAM1,PRKCB,AP2S1,PRKCG,SMURF2,AP2A1,AP2A2,RHOA,ROR2,ROR1,WNT1,WNT5B,WNT4,SCRIB,PFN1,UBA52,UBB,UBC,ARRB2,WNT5A,WNT11
Activated NTRK2 signals through RAS	R-HSA-9026519	Reactome	NTF4,SHC1,SOS1,HRAS,NRAS,NTRK2,GRB2,BDNF,KRAS
Sialic acid metabolism	R-HSA-4085001	Reactome	ST6GAL2,ST6GAL1,ST8SIA1,GNE,CMAS,SLC35A1,NANP,NANS,ST3GAL3,ST3GAL2,ST3GAL1,ST3GAL6,ST3GAL5,ST3GAL4,CTSA,ST6GALNAC6,ST6GALNAC5,ST6GALNAC4,ST6GALNAC3,ST6GALNAC2,ST6GALNAC1,NPL,ST8SIA6,ST8SIA5,ST8SIA4,ST8SIA3,ST8SIA2,GLB1,SLC17A5,NEU4,NEU1,NEU2,NEU3
Synthesis of PIPs at the ER membrane	R-HSA-1483248	Reactome	SBF1,PI4K2B,SACM1L,PI4KA,MTMR2
inositol pyrophosphates biosynthesis	PWY-6369	HumanCyc	IP6K3,IPMK,PPIP5K2,PPIP5K1,IPPK,IP6K2,IP6K1
Validated nuclear estrogen receptor beta network	erb_genomic_pathway	PID	NCOA2,NCOA3,NCOA1,ESR2,UBE2M,NR0B2,NR0B1,DDX54,NEDD8,ZNF14,SMARCE1,C3,SMARCB1,SMARCA4,UBA3
CHL1 interactions	R-HSA-447041	Reactome	ITGB1,ITGA1,ITGA2,HSPA8,ANK1,ITGA10,CNTN6,CHL1,NRP1
Activated NTRK2 signals through PLCG1	R-HSA-9026527	Reactome	PLCG1,NTF4,BDNF,NTRK2
Nef mediated downregulation of MHC class I complex cell surface expression	R-HSA-164940	Reactome	AP1M2,AP1G1,HLA-A,AP1M1,B2M,AP1S1,AP1S2,AP1S3,AP1B1,PACS1
Triglyceride biosynthesis	R-HSA-75109	Reactome	GPAM,LPIN2,LPIN3,LPIN1,AGMO,GK2,GPAT2,GK3P,DGAT1,MOGAT2,MOGAT3,MOGAT1,DGAT2,GK
cdc25 and chk1 regulatory pathway in response to dna damage	cdc25pathway	BioCarta	RASGRF1,ATM,CDK1,YWHAH,WEE1,MYT1,CHEK1
Activated NTRK2 signals through FYN	R-HSA-9032500	Reactome	SRC,BDNF,FYN,NTRK2
C20 prostanoid biosynthesis	PWY66-374	HumanCyc	PTGS2,PTGS1,TBXAS1,PTGES3,PTGES2,PTGIS,PTGDS,PTGES,HPGDS
PDGFR-beta signaling pathway	pdgfrbpathway	PID	ASB15,RAB4A,NRAS,BRK1,RAPGEF1,PIK3CA,PIK3CB,FGR,PIK3CG,LYN,RAB5A,SHC1,PPP2R2B,KRAS,PPP2CA,GRB10,PTPN11,SFN,PTEN,GRB2,ARPC1B,YWHAE,PAK1,ACTA2,EIF2AK2,HRAS,PDGFB,DOCK4,GAB1,DNM2,CRK,NCKAP1,JUN,PIK3R6,ELK1,JAK2,PIK3R1,KSR1,CSK,FOS,ARPC3,ARPC2,ARPC5,ARPC4,BLK,HCK,PTPN1,BCAR1,RPS6KA3,VAV2,CBL,BAIAP2,ACTR3,LCK,PDGFRB,PAG1,RAP1B,RAP1A,MAPK10,PTPN2,ABL1,RAF1,RHOA,STAT3,STAT1,WASF2,S1PR1,CSF1R,SLA,MAPK3,MAPK1,SIPA1,MAPK8,MAPK9,SRC,SRF,MYC,LRP1,SOS1,AFDN,PLCG1,STAT5B,STAT5A,MYOCD,PPP2R1A,SPHK1,CTTN,CYFIP2,JUND,MAP2K2,MAP2K1,MAP2K7,WASL,EPS8,MAP2K4,PIN1,IQGAP1,YES1,YWHAZ,ARAP1,SLC9A3R2,SLC9A3R1,YWHAQ,FYN,YWHAH,DOK1,ARHGDIA,YWHAB,USP6NL,YWHAG,ARHGAP35,ITGB3,RAC1,PRKCA,PRKCE,PRKCD,PLA2G4A,RASA1,TAGLN,NCK1,NCK2,ACTN4,ABI1,ACTR2,ITGAV,BRAF,PTPRJ
TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain	R-HSA-6804115	Reactome	PLK3,PLK2,RARA,BTG2,CNOT9,CNOT8,CNOT3,CNOT2,CNOT1,CNOT7,CNOT6,CNOT4,CENPJ,CDC25C,CNOT11,CNOT10,TNKS1BP1,NPM1,CNOT6L,TP53,ALK,RGCC,PLAGL1
TP53 Regulates Transcription of Cell Cycle Genes	R-HSA-6791312	Reactome	CDKN1B,PLK3,PLK2,CARM1,BAX,CENPJ,RARA,CCNA2,BTG2,CCNA1,CCNE2,GADD45A,ZNF385A,CCNE1,PCBP4,CNOT9,CNOT8,AURKA,CDKN1A,CNOT3,CNOT2,CNOT1,CNOT7,CNOT6,CNOT4,PCNA,E2F7,PRMT1,RBL1,RBL2,CDC25C,CNOT11,CNOT10,CNOT6L,TNKS1BP1,EP300,NPM1,ARID3A,CCNB1,E2F4,TP53,ALK,E2F1,E2F8,SFN,CDK1,CDK2,RGCC,PLAGL1,TFDP2,TFDP1
ca-calmodulin-dependent protein kinase activation	cacampathway	BioCarta	CAMK2D,CAMK2G,CAMK4,CAMK2B,CAMK2A,CAMKK2,CAMKK1,CREB1
D-<i>myo</i>-inositol-5-phosphate metabolism	PWY-6367	HumanCyc	PLCB1,PLCB2,MTMR14,PLCB4,PLCZ1,PIP4P1,PLCG1,PLCH2,PLCG2,PLCD4,PLCB3,PLCE1,TMEM216,PLCD3,PLCD1,PIP4P2,PLCH1,MTMR3,PIP4K2C,PIP4K2A
links between pyk2 and map kinases	pyk2pathway	BioCarta	CRKL,HRAS,MAP2K3,MAP2K2,MAP2K1,MAP2K4,RAF1,MAP3K1,JUN,MAPK3,PTK2B,MAPK1,MAPK8,SRC,SHC1,RAC1,PRKCA,PRKCB,CAMK2B,BCAR1,MAPK14,GNAQ,SOS1,PLCG1,GRB2,PAK1
Interleukin-10 signaling	R-HSA-6783783	Reactome	STAT3,IL10RA,IL10RB,IL10,JAK1,TYK2
GPCR signaling-G alpha q	None	INOH	LIF,RGS6,EPO,ARAF,CCK,RGS18,BDNF,AGT,EGF,GDNF,IFNW1,CXCR2,WNT10A,WNT10B,WNT8B,INHBA,INHBB,INHBC,INHBE,IFNA13,EDN3,EDN2,IFNA17,IFNA16,IFNA14,BMP7,LHB,BMP8B,GIP,IFNG,NRG1,BMP4,FASLG,SCT,KITLG,MAPK3,NRG3,GH1,DBI,PYY,BMP5,NRG2,BMP3,BMP2,CXCL8,CSF2,CSF3,IL10,VIP,NPY,GRM2,WNT2,MAPK1,GRM3,WNT7A,IFNA1,WNT7B,PRKCI,NGF,TNFSF10,PLCB1,ADORA1,TSHB,ADORA3,IL18,IL15,IL6,IGF1,IL16,IL1A,FZD10,RGS19,GAST,TGFA,ADORA2A,ADORA2B,GCG,GNAI2,IHH,IFNA10,PRLH,IFNA21,GRM8,GRM4,GRM5,GRM6,GRM7,GRM1,GDF11,OXT,IGF2,TRH,PLCB2,PLCB3,PLCB4,GRP,FZD1,GAL,PRKCE,VEGFD,MSTN,VEGFA,PRKCG,FGF9,FGF8,SHH,ITPR3,FGF5,FGF4,FGF3,FGF2,FGF1,INHA,GNAQ,SST,AVP,INS,FZD8,TNF,GDF10,FZD9,AGTR2,WNT5A,IL13,FGF22,FGF23,FGF20,FGF21,WNT3A,GHRH,CD40LG,VEGFC,NODAL,VEGFB,SMO,FGF7,FGF6,NRG4,IL1B,CD86,RAF1,GNAI1,AREG,FZD2,FZD3,FZD4,FZD5,FZD6,FZD7,CGA,CD80,WNT9B,IFNB1,PDGFA,HBEGF,FGF19,FGF18,WNT6,FGF13,FGF11,FGF10,FGF17,FGF16,FGF14,RGS16,NTF3,NTF4,IL17A,GNB5,CGB5,CGB7,WNT5B,GNB3,CGB3,DLL1,LTA,DLL3,DLL4,POMC,NDP,NPPA,RGS5,RGS17,RGS14,IFNA8,RGS12,RGS13,RGS10,RGS11,WNT3,IFNA2,WNT1,KNG1,IFNA7,IFNA6,IFNA5,IFNA4,LEP,IL7,IL4,IL5,EREG,GNRH1,IL9,TGFB1,TGFB2,TGFB3,PRKCQ,IL12B,IL12A,MAP2K2,MAP2K1,BMP10,BMP15,BMP6,CGB8,CRH,GDF9,RGS20,FSHB,TMIGD3,TAC1,TAC3,GDF7,GDF6,GDF5,THPO,RGS4,WNT8A,CXCR1,RGS7,RGS1,RGS2,RGS3,JAG2,PPY,JAG1,RGS8,RGS9,BRAF,WNT2B,PRKCH,PDGFB,EDN1,BTC,DHH,PRKCA,PRL,PRKCB,MLN,PRKCD,TXLNA,IL11,WNT4,PRKCZ,WNT16,HGF,AGTR1,CSH2,ITPR1,CSH1,IL3,DRD4,DRD5,DRD2,DRD3,DRD1,GDF3,GNGT2,WNT9A,GDF2,CALCA,CALCB,WNT11
MAP3K8 (TPL2)-dependent MAPK1/3 activation	R-HSA-5684264	Reactome	IKBKB,MAP3K8,FBXW11,MAP2K4,SKP1,RPS27A,UBA52,CHUK,TNIP2,MAP2K1,IKBKG,UBB,UBC,NFKB1,CUL1,BTRC
