gene,BF_hpaf,BF_patu,BF_aspc,BF_dld,BF_gbm,BF_hct,BF_hela,BF_rpe,panc.mean,nonpanc.mean,zPanc_vs_other
MAPKAPK3,-0.28,-1.01,-0.49,-0.58,-0.63,-0.2,-0.5,0.19,-0.59,-0.34,-0.4
MAST2,-0.98,-0.22,-0.85,-1.08,-0.78,-0.12,0.3,-0.44,-0.68,-0.42,-0.4
MUC12,0,-0.6,-1.04,-0.74,0.27,-0.74,0.02,-0.35,-0.55,-0.31,-0.4
MUCL1,0.66,0.07,-0.05,-0.07,0.1,0.3,0.72,0.8,0.23,0.37,-0.4
MYOT,0.03,-0.31,0.03,0.63,0.16,0.07,0,-0.37,-0.08,0.1,-0.4
NICN1,0.09,-0.61,-0.48,-0.08,-0.25,-0.37,0.62,-0.52,-0.33,-0.12,-0.4
NMNAT3,-0.71,-0.87,-0.91,-0.25,-0.78,-0.32,-1.57,0.17,-0.83,-0.55,-0.4
P2RX3,-0.51,-0.76,-0.14,-0.28,-0.72,0.3,-0.23,-0.26,-0.47,-0.24,-0.4
PDZRN4,-0.85,-0.52,-0.39,-0.81,0.19,-0.45,-0.28,-0.35,-0.59,-0.34,-0.4
PITPNB,0.65,-0.8,-0.41,-0.08,-0.28,-0.09,0.69,-0.19,-0.19,0.01,-0.4
PPIP5K2,-1.14,-1.01,-1.29,-0.87,-0.5,-0.81,-1.17,-0.75,-1.14,-0.82,-0.4
PPP1R11,1.03,-0.28,0.72,0.69,-0.56,1.89,-0.13,1.11,0.49,0.6,-0.4
PRSS35,-0.28,-0.73,0.33,-0.43,-0.54,-0.03,0.51,0.37,-0.23,-0.03,-0.4
RILPL2,0,-0.25,-0.51,-0.2,0.45,-0.1,0.03,-0.42,-0.25,-0.05,-0.4
RYR2,-0.4,-1.03,-1.06,-0.07,-0.7,-0.71,-0.58,-0.71,-0.83,-0.55,-0.4
SAT1,-0.19,-0.11,-0.34,-0.04,0.53,-0.28,-0.01,-0.26,-0.21,-0.01,-0.4
SDE2,0.19,0.55,1.69,0.77,0.65,1.35,0.38,1.25,0.81,0.88,-0.4
SLMO1,-0.29,-0.83,-0.71,-0.25,-0.78,-0.41,-0.46,0.12,-0.61,-0.36,-0.4
SOX8,-0.31,-0.79,-0.64,-0.75,-0.69,0.06,0.74,-1.02,-0.58,-0.33,-0.4
SPIB,-0.64,-0.52,-1.28,-0.46,-0.38,-0.14,-1.04,-0.66,-0.81,-0.53,-0.4
SYDE2,-0.63,-0.95,-1.45,-0.79,-0.52,-0.3,-1.04,-0.89,-1.01,-0.71,-0.4
TFAM,0.93,1.33,0.28,1.19,1.04,0.69,1.26,0.4,0.85,0.91,-0.4
TMEM154,-0.05,-0.11,-0.05,0.05,0.55,0.25,0.06,-0.36,-0.07,0.11,-0.4
TMPRSS11B,-0.16,-0.04,-0.12,0.36,0.27,0.05,0.04,-0.32,-0.11,0.08,-0.4
TNPO2,-0.83,-0.93,0.7,-0.28,-0.33,-0.38,0.52,-0.22,-0.35,-0.14,-0.4
TNRC6A,-0.46,-0.19,0.4,0.06,-0.23,-0.51,-0.03,1.21,-0.08,0.1,-0.4
TPRN,-1.29,0.5,0.27,-0.25,0.03,0.07,0.62,-0.36,-0.18,0.02,-0.4
VLDLR,-0.96,-0.94,-0.86,-0.92,-1.21,-1.21,0.22,-0.03,-0.92,-0.63,-0.4
WFDC5,0.18,-0.85,0.45,-0.8,-0.3,-0.16,1.64,0.18,-0.07,0.11,-0.4
ZNF480,0.4,0.45,0.59,0.48,0.7,0.7,0.41,0.68,0.48,0.59,-0.4
ZNF704,0.23,-0.44,0.22,-0.45,0.76,-0.41,0.21,0.78,0,0.18,-0.4
ZSCAN10,-0.26,-0.26,0.16,0.79,-0.46,-0.82,-0.07,0.91,-0.12,0.07,-0.4
ACSF2,-0.57,0.39,-1.29,-0.38,-0.56,-0.48,-0.24,0.41,-0.49,-0.25,-0.41
ADARB2,-0.52,-1.13,-0.84,0.31,-0.63,-0.44,-1.27,-0.71,-0.83,-0.55,-0.41
ALG2,2.34,3.46,4.11,2.84,3.72,3.02,3.3,2.39,3.3,3.05,-0.41
ANKIB1,-0.12,-0.59,-0.07,-0.41,0.41,0.1,-0.04,-0.32,-0.26,-0.05,-0.41
AP3S1,0.99,0.38,0.28,0.57,0.69,0.55,1,0.46,0.55,0.66,-0.41
B3GALNT2,-0.8,-0.46,-0.23,0.02,-0.07,-0.08,-0.96,-0.19,-0.5,-0.26,-0.41
C11orf52,-0.14,-1.21,-0.16,-0.35,-0.87,-0.43,0.55,-0.24,-0.51,-0.27,-0.41
C19orf77,-0.2,-0.4,-0.66,-0.23,-0.34,0.22,-0.09,-0.51,-0.42,-0.19,-0.41
C22orf24,-0.56,-0.32,0,-0.19,-0.38,-0.06,0.22,0.01,-0.3,-0.08,-0.41
CARNS1,0.01,-0.39,-0.01,0.37,-0.5,0.01,0.98,-0.54,-0.13,0.06,-0.41
CCDC11,-0.54,-1.07,-0.79,-0.64,-0.62,0.23,-0.95,-0.61,-0.8,-0.52,-0.41
CCDC42B,-1.07,-0.83,0.03,-0.36,-0.38,-0.15,-0.28,-0.65,-0.62,-0.36,-0.41
CD84,-0.55,-0.48,-1.39,-0.87,-0.54,-0.8,0.04,-0.47,-0.81,-0.53,-0.41
CDH20,-1.11,-1.15,-1.04,-0.79,-0.59,-1.16,-0.6,-0.76,-1.1,-0.78,-0.41
CLC,0.76,0.38,0.28,0.58,0.42,0.52,0.84,0.61,0.47,0.59,-0.41
CLMN,0.27,-0.95,-0.95,-0.71,-0.56,-0.13,-0.16,0.08,-0.54,-0.29,-0.41
COMMD6,0.19,0.2,-0.13,-0.16,0.23,0.26,0.63,0.3,0.09,0.25,-0.41
COX15,1.77,2.77,0.12,2.1,2.14,2.21,0.72,0.49,1.56,1.53,-0.41
CRB3,-0.78,-0.57,-0.4,-0.18,-0.54,0.1,-0.66,-0.35,-0.58,-0.33,-0.41
CREB3L2,-0.28,-0.99,-0.68,-0.44,-0.62,-0.69,-0.06,-0.14,-0.65,-0.39,-0.41
EPB42,-0.06,-0.26,-0.2,0.19,-0.44,-0.09,0.56,-0.09,-0.17,0.03,-0.41
FAM101A,0.53,-1.07,1.64,0.52,0.29,0.5,0.18,0.99,0.37,0.5,-0.41
FAM173B,-1.13,-1.08,-0.07,-0.76,-1,-1.28,0.39,0.22,-0.76,-0.48,-0.41
FAM53A,-1.03,-0.22,-0.73,-0.5,-0.67,-0.21,0.6,-1.23,-0.66,-0.4,-0.41
FBXW8,-0.78,-0.06,-0.8,-0.59,-0.19,-0.27,0.06,-0.5,-0.55,-0.3,-0.41
FGL1,0.37,-0.13,-0.37,0.08,-0.3,0.22,0.43,0.27,-0.04,0.14,-0.41
FHIT,0.2,0.49,0.5,0.77,0.86,-0.01,0.39,0.61,0.4,0.52,-0.41
GABRR1,-1.39,-1.08,-1.01,-1.01,-0.9,-1.02,-0.34,-0.89,-1.16,-0.83,-0.41
GNG2,0.04,-0.12,-0.32,0.01,-0.06,0.23,0,0.11,-0.14,0.06,-0.41
HDHD1,-0.57,0.05,-1.37,-0.55,-0.26,-0.58,-1.08,0.62,-0.63,-0.37,-0.41
HSPA2,-0.04,-0.42,-1.08,-0.7,-0.29,-0.06,-0.25,-0.04,-0.51,-0.27,-0.41
IQCJ,0.09,0.21,-0.62,0.17,0.17,0.06,0.07,-0.03,-0.11,0.09,-0.41
KCNH6,-0.69,-0.6,-1.19,-0.59,-0.28,-0.15,-0.7,-0.99,-0.83,-0.54,-0.41
KLRD1,0.6,0.43,0.47,0.69,0.63,0.56,0.44,0.74,0.5,0.61,-0.41
LRBA,-1.38,-0.82,-0.69,-0.85,-0.76,0.03,-0.77,-0.95,-0.96,-0.66,-0.41
MLANA,-0.47,-0.42,-0.07,0.08,-0.63,-0.3,-0.31,0.66,-0.32,-0.1,-0.41
MYEF2,-1.51,-0.79,-0.71,-1.16,-1.12,-0.54,-0.56,-0.1,-1,-0.7,-0.41
MYO18A,-0.56,1.45,-0.74,0.92,0.53,0.39,-0.51,-0.23,0.05,0.22,-0.41
NEK10,-0.55,-0.95,-1.25,-0.95,-0.24,-0.4,-0.81,-0.7,-0.92,-0.62,-0.41
NTHL1,-0.92,-0.56,-0.72,-0.5,-1.2,-0.29,-0.06,-0.26,-0.73,-0.46,-0.41
OR4K17,0.23,0.27,-0.04,0.17,0.49,0.12,0.48,0.28,0.15,0.31,-0.41
PCBD2,0.45,0.43,0.64,0.49,0.73,0.89,0.65,0.35,0.51,0.62,-0.41
PGK2,-0.33,-0.13,-0.27,-0.07,-0.31,0.39,-0.03,-0.16,-0.24,-0.04,-0.41
PRKCZ,1.21,-0.36,0.75,0.19,0.48,0.87,0.48,1.21,0.54,0.65,-0.41
RAB39A,-0.69,-0.61,-0.73,-0.59,-0.22,-0.49,-0.73,-0.02,-0.67,-0.41,-0.41
RSPH3,-1.13,-0.96,-0.87,-0.68,-0.52,-0.88,-1.64,0.33,-0.98,-0.68,-0.41
RSPH9,-1.05,-0.96,-0.57,-0.25,-0.56,-0.91,-0.64,-0.49,-0.86,-0.57,-0.41
SAMHD1,1.12,0.25,1.5,0.52,1.46,0.92,2.16,0.01,0.96,1.01,-0.41
SLC1A2,0.04,-0.69,-0.78,-1.03,-0.26,0.64,0.41,-0.94,-0.47,-0.24,-0.41
SLC35B4,-0.99,0.24,-0.73,-0.4,0.49,-0.84,0.17,-0.69,-0.49,-0.25,-0.41
SMARCAL1,-1.45,-0.82,-0.76,-0.93,-0.87,-0.63,-0.61,-0.47,-1.01,-0.7,-0.41
SMO,-0.86,0.14,-0.13,-0.05,0.06,-0.06,-0.02,-0.28,-0.28,-0.07,-0.41
STRADA,0.89,-0.1,-0.32,-0.22,0.72,0.74,0.28,0.05,0.16,0.31,-0.41
SWAP70,-1.2,-0.91,-0.39,-0.85,-0.58,-0.71,-0.01,-0.57,-0.83,-0.55,-0.41
SYNGAP1,-0.91,-0.82,-0.23,-0.45,-0.34,-0.8,-0.43,0.07,-0.65,-0.39,-0.41
TAF9B,0.61,0.54,0.45,0.65,0.58,0.72,0.65,0.6,0.53,0.64,-0.41
THEM4,0.48,0.47,0.7,0.6,0.44,0.83,0.57,0.84,0.55,0.66,-0.41
TNFAIP3,-1.34,-1.05,-1.59,-1.05,-0.44,-1.33,-1.04,-1.03,-1.32,-0.98,-0.41
TNFAIP8L2,-0.38,-0.56,-0.19,-0.15,-0.38,0.41,-0.15,-0.48,-0.38,-0.15,-0.41
USP22,0.47,-0.39,-1.4,0.34,-0.47,-0.11,-0.38,-0.43,-0.44,-0.21,-0.41
VEGFA,-0.87,-0.98,-0.3,-0.6,-0.75,-0.24,-0.85,0.19,-0.72,-0.45,-0.41
WNT10B,-0.66,0.25,-0.48,0.25,0.42,-0.9,0.77,-0.94,-0.3,-0.08,-0.41
ZNF18,-0.33,-0.88,-0.96,-0.43,-0.53,0.16,-0.7,-0.77,-0.72,-0.45,-0.41
ZNF517,0.24,-0.18,0.43,0.43,0.11,-0.22,0.26,1.02,0.16,0.32,-0.41
ZNF619,-0.65,0.55,-1.23,0.09,-0.58,-0.41,0.44,-0.58,-0.44,-0.21,-0.41
ZNF669,-0.51,-0.48,-0.8,-0.58,-0.49,-0.15,0.01,-0.48,-0.6,-0.34,-0.41
ZNF878,0.4,0.56,0.57,0.76,0.37,0.39,0.76,0.82,0.51,0.62,-0.41
ZSCAN9,-0.8,-0.76,-1.05,-0.83,-0.4,0.4,-1,-1.07,-0.87,-0.58,-0.41
ABHD14A,-0.69,-0.57,-0.87,-0.09,-0.66,-0.48,-0.32,-0.65,-0.71,-0.44,-0.42
APMAP,-0.91,-0.14,-0.41,-0.62,-0.53,0.28,0.39,-0.75,-0.49,-0.25,-0.42
APOA1,-0.18,-0.45,-0.4,-0.4,-0.28,-0.19,0.37,-0.08,-0.34,-0.11,-0.42
AQP6,-0.71,-0.47,-0.63,-0.82,-0.77,-0.15,0.21,-0.2,-0.6,-0.35,-0.42
ASGR2,-1.09,-0.63,-0.56,-0.52,-0.17,-0.85,-0.65,-0.21,-0.76,-0.48,-0.42
ATP5F1,1.7,2.49,1.28,1.61,2.07,2.48,2.52,0.18,1.82,1.77,-0.42
BSPH1,-0.28,-0.11,-0.14,-0.03,0.03,0.14,0.32,-0.31,-0.18,0.03,-0.42
C11orf87,-1.03,-0.89,-0.08,-0.63,-0.54,-0.22,-0.15,-0.47,-0.67,-0.4,-0.42
C16orf80,1.14,1.89,1.16,1.43,0.51,1.03,1.38,2.65,1.4,1.4,-0.42
C17orf75,-0.08,-0.17,-1.06,-0.61,0.79,-0.28,-0.5,-0.39,-0.44,-0.2,-0.42
C20orf85,0.67,-0.06,-0.88,0.1,0.22,-0.07,0.21,0.04,-0.09,0.1,-0.42
C3orf62,-0.65,-0.39,-1.03,-0.43,-0.52,-0.35,-0.59,-0.22,-0.69,-0.42,-0.42
C4orf3,-0.75,-0.8,-0.41,-0.4,-0.69,-0.02,0.07,-0.89,-0.66,-0.39,-0.42
CEP19,0.43,0.64,0.27,0.58,0.4,0.38,0.87,0.63,0.45,0.57,-0.42
CLDN15,-0.43,-0.49,0.56,0.17,0.6,-0.54,0.58,-0.45,-0.12,0.07,-0.42
CLEC19A,-1.16,-0.85,-0.74,-0.88,-0.6,-0.67,-0.5,-0.45,-0.92,-0.62,-0.42
CMTM2,-0.87,-0.89,-0.66,-0.37,-0.77,-0.68,-0.21,-0.58,-0.81,-0.52,-0.42
CNOT6L,0.48,0.39,1.03,0.42,0.81,0.49,1.11,0.83,0.63,0.73,-0.42
CROT,-0.79,-0.62,-0.8,-0.68,-0.11,-0.65,-0.43,-0.42,-0.73,-0.46,-0.42
CTRB2,0.43,0.51,0.5,0.64,0.34,0.68,0.86,0.46,0.48,0.6,-0.42
DCUN1D4,-1.21,-0.06,-1.1,-0.57,-0.68,-0.75,0.05,-0.6,-0.79,-0.51,-0.42
DIP2C,-1.31,-0.74,0.13,-0.28,-0.99,-0.8,1.01,-0.81,-0.64,-0.37,-0.42
DPP7,-0.76,-0.25,-1.07,-0.65,0.12,-0.56,-0.67,-0.35,-0.69,-0.42,-0.42
ENTPD1,-0.55,-0.63,-0.83,-0.16,-0.1,-0.62,-0.54,-0.6,-0.67,-0.4,-0.42
ETFDH,-0.45,-0.72,-0.25,-0.85,-0.18,-0.4,-0.11,0.4,-0.47,-0.23,-0.42
EXPH5,-1.19,0.11,-0.71,-0.18,-0.44,0.02,-1.05,-0.05,-0.6,-0.34,-0.42
FAM178A,-0.06,0.55,0.18,0.69,-0.31,0.09,2.05,-0.63,0.23,0.38,-0.42
FEN1,1.99,2.2,3.09,1.39,3.57,2.2,2.17,2.16,2.43,2.3,-0.42
FGFR3,-0.52,-0.04,-1.11,-0.05,0.79,-0.94,-1.26,-0.06,-0.56,-0.3,-0.42
GAS7,-0.13,-1.17,-0.95,-0.91,-0.59,-0.29,0.31,-0.88,-0.75,-0.47,-0.42
GNA15,-0.87,-0.39,-0.27,-0.69,-0.11,0.09,0.07,-0.68,-0.51,-0.26,-0.42
GSDMD,-0.02,0.38,0.01,-0.34,1.05,0.52,0.29,-0.09,0.12,0.29,-0.42
HIST1H4F,0.09,0.05,0.2,0.4,0.12,-0.02,0.65,0.25,0.11,0.28,-0.42
HSPA1L,-0.04,-0.83,0.2,0.03,-0.52,0.18,-0.22,0.45,-0.23,-0.02,-0.42
ITGA2,0.14,-1.05,-0.21,-0.35,-0.39,0.11,0.4,-0.48,-0.37,-0.14,-0.42
JMJD6,1.73,-1.24,0.7,-1.06,0.16,1.73,0.99,0.79,0.39,0.52,-0.42
LRRC66,-0.56,-0.14,-0.51,-0.14,-0.84,-0.43,0.88,-0.32,-0.4,-0.17,-0.42
LUZP1,-0.36,-0.12,0.17,-0.32,-0.18,0.08,0.86,0.03,-0.1,0.09,-0.42
MECR,2.81,-0.49,-0.58,0.61,-0.01,2.15,-0.71,1.4,0.58,0.69,-0.42
METTL1,1.14,0.72,0.95,1.64,0.76,1.08,0.2,1.28,0.93,0.99,-0.42
MT1F,0.45,0.49,0.71,0.88,0.52,0.71,0.64,0.54,0.55,0.66,-0.42
NLGN3,-0.52,-0.47,-0.9,-0.5,-0.17,-0.21,0.23,-1.18,-0.63,-0.37,-0.42
NPTN,-0.96,-0.15,-0.33,-0.85,-0.08,-0.26,0.13,-0.12,-0.48,-0.24,-0.42
NRG1,-0.87,-0.64,-1.67,-1.09,-0.94,-0.94,-0.3,-0.45,-1.06,-0.74,-0.42
OPN3,-0.86,-0.4,-1.25,0.16,-0.52,-0.21,-1.19,-1,-0.84,-0.55,-0.42
OVGP1,-0.07,-0.3,-0.01,0.26,0.18,-0.63,0.52,0.04,-0.12,0.07,-0.42
PDZD11,0.53,0.52,0.35,0.53,0.49,0.97,0.45,0.5,0.47,0.59,-0.42
PHKG2,-0.87,-0.68,-0.9,-0.56,-1.11,0.31,-0.15,-1.14,-0.82,-0.53,-0.42
PLAC9,1.01,0.12,0.29,0.36,0.84,0.57,1.15,0.06,0.47,0.6,-0.42
PLEKHB2,-0.13,-0.61,-0.18,0.58,-0.67,-0.34,-0.68,0.7,-0.31,-0.08,-0.42
POLR1E,3,3.79,1.71,2.04,3.29,2.56,1.76,3.61,2.84,2.65,-0.42
PRICKLE2,-0.11,-0.47,-0.06,0.59,-0.21,-0.06,-0.18,-0.14,-0.21,0,-0.42
RPS12,0.84,0.48,0.71,0.64,0.72,0.82,0.63,1.03,0.67,0.77,-0.42
S100A12,-0.46,-0.23,-0.71,0.03,-0.37,-0.15,-0.19,-0.43,-0.47,-0.22,-0.42
SAMD1,0.19,-0.84,1.43,0.79,0.33,0.84,0.07,-0.01,0.26,0.41,-0.42
SHANK2,-0.41,-0.65,-1.01,0.03,-0.15,0.16,-1.11,-1.02,-0.69,-0.42,-0.42
SLC22A24,-1.13,-0.77,-0.89,-0.86,-0.14,-0.93,0.07,-1.29,-0.93,-0.63,-0.42
SLC25A46,-0.45,-0.45,-0.4,-0.14,0.45,-0.28,-0.69,-0.32,-0.43,-0.2,-0.42
SLC26A6,0.56,0.34,-0.52,-0.61,0.46,1.2,0.42,-0.02,0.13,0.29,-0.42
TMCO5A,-0.76,-0.41,-0.88,-0.77,-0.5,-0.37,-0.36,-0.06,-0.68,-0.41,-0.42
TMEM39B,-0.17,-0.6,-1.04,-0.24,-0.01,-0.33,-0.26,-0.88,-0.6,-0.34,-0.42
UCP3,0.19,0.36,0.8,-0.24,0.6,0,1.81,0.7,0.45,0.57,-0.42
WRNIP1,-0.78,-1.04,-1.48,-0.74,-1.3,-0.59,-0.23,-1.01,-1.1,-0.78,-0.42
ZNF528,0.31,0.21,-0.37,0.16,-0.06,1.21,-0.16,-0.03,0.05,0.22,-0.42
ZNF586,-0.2,0.07,0.24,0.62,0.06,-0.3,0.36,0.32,0.04,0.21,-0.42
ZNF609,-0.78,0.27,1.43,1.1,-0.32,-0.55,0.91,1.1,0.3,0.45,-0.42
ZNF662,0.24,-0.11,0.18,-0.08,0.82,-0.04,0.57,0.1,0.11,0.27,-0.42
ZSCAN20,-0.32,-0.19,-0.55,-0.16,-0.15,-0.08,-0.32,0.09,-0.35,-0.12,-0.42
AAK1,-0.69,-0.1,1.3,0.61,0.63,-0.79,1.9,-0.67,0.17,0.34,-0.43
ACOX3,0.09,-1,-1.06,-0.31,-0.13,-0.96,-0.41,-0.13,-0.65,-0.39,-0.43
APAF1,-0.44,-0.92,-1.31,-0.57,-0.69,-0.03,-1.3,-0.34,-0.89,-0.59,-0.43
APOBEC3B,0.8,0.41,0.49,0.86,0.52,0.91,0.68,0.43,0.57,0.68,-0.43
ARHGEF38,-0.41,-1.17,-0.61,-0.43,-0.48,-0.36,-0.4,-0.56,-0.73,-0.45,-0.43
B3GALT6,-0.18,-0.3,0.74,0.61,0.22,-0.22,0.11,0.58,0.08,0.26,-0.43
BAG5,0,-0.16,0.12,-0.19,0.07,0.14,0.1,0.73,-0.02,0.17,-0.43
CACNG5,-0.52,-0.69,0.35,-0.5,0.52,0.15,-0.26,-0.25,-0.29,-0.07,-0.43
CAPN5,-0.18,-0.37,-0.68,-0.52,0.22,-0.6,-0.08,0.11,-0.41,-0.17,-0.43
CAV1,-0.49,-0.47,0.44,-0.61,0.83,-0.02,-0.31,0.29,-0.17,0.04,-0.43
CD34,-0.58,-0.73,-0.14,-0.07,-0.52,-0.01,0.26,-0.83,-0.48,-0.23,-0.43
CDC20,2.58,2.23,2.13,2.85,2.61,2.28,1.57,1.68,2.31,2.2,-0.43
CDKL2,-1.26,-0.97,-1.45,-0.61,-0.96,-0.8,-0.88,-1.18,-1.23,-0.89,-0.43
CEP41,-0.7,-0.56,0.47,-0.56,0.43,-0.21,0.28,-0.16,-0.26,-0.04,-0.43
CEP68,-0.89,-0.66,0.16,-0.42,0.08,-0.41,0.3,-0.65,-0.46,-0.22,-0.43
CISD3,-0.34,0.09,0.23,-0.03,0.84,-0.32,0.15,0.27,-0.01,0.18,-0.43
COBLL1,-0.88,-0.77,-0.08,-0.43,-0.56,-0.06,-0.26,-0.28,-0.58,-0.32,-0.43
CRYGD,-0.64,-0.37,-0.19,-0.48,0.08,-0.67,0.38,-0.12,-0.4,-0.16,-0.43
CTDSPL,-0.75,-0.88,-1.69,-0.12,-0.75,-1.17,-0.73,-1.14,-1.11,-0.78,-0.43
CTNNA2,-1.12,-1.03,-0.83,-0.88,-0.14,-1.26,-0.05,-1.05,-0.99,-0.68,-0.43
CYP19A1,-1.31,-0.68,-1.16,-0.8,-1.21,-0.54,0.1,-1.19,-1.05,-0.73,-0.43
CYP3A5,0.53,0.17,0.15,0.5,0.48,0.55,0.29,0.36,0.28,0.43,-0.43
DAD1,2.97,3.01,3.68,2.78,2.83,3.34,3.09,2.91,3.22,2.99,-0.43
DCAF15,0.01,-0.01,0.06,-0.76,-1.13,0.13,2.44,0.32,0.02,0.2,-0.43
DDAH1,-0.48,0.22,-0.54,0.02,-0.23,-0.01,0.34,-0.36,-0.27,-0.05,-0.43
ELTD1,-1.17,-0.67,-0.49,-0.49,-1.17,-0.04,-0.12,-0.63,-0.78,-0.49,-0.43
EPM2AIP1,-0.58,-0.26,-1.01,-0.39,-0.37,-0.13,-0.6,-0.27,-0.62,-0.35,-0.43
FAM212B,-0.22,-0.67,-0.58,-0.41,-0.57,0.09,-0.49,0.18,-0.49,-0.24,-0.43
FGF19,0.59,-0.17,-0.44,0.33,0.1,-0.52,1.31,-0.3,0,0.19,-0.43
FRAS1,-0.78,-0.77,-0.77,-0.96,-0.63,-0.99,0.88,-0.75,-0.78,-0.49,-0.43
FUT5,0.17,0.18,0.3,0.46,0.01,0.38,0.7,0.32,0.21,0.37,-0.43
GMFB,0.01,0.08,0.38,0.63,0.37,0.43,0.22,-0.03,0.16,0.32,-0.43
HERC6,-1.15,0.11,-0.44,-0.25,-0.45,-0.1,0.03,-0.47,-0.5,-0.25,-0.43
IL22RA2,0.52,-0.81,-0.39,0.19,-0.41,0.18,0.36,-0.39,-0.23,-0.01,-0.43
JOSD2,-0.3,0.7,-0.66,0.06,-0.87,0.43,0.59,0.35,-0.08,0.11,-0.43
KLHL15,-0.48,-0.53,-0.66,-0.01,-0.51,-0.73,0.65,-0.9,-0.56,-0.3,-0.43
KRTAP11-1,-0.5,-0.52,-0.32,-0.36,-0.46,0.07,0.2,-0.45,-0.44,-0.2,-0.43
LDLRAD2,-1.03,-0.75,-1.26,-0.67,-0.6,-0.87,-0.6,-0.75,-1.02,-0.7,-0.43
LPP,-0.63,-1.03,-0.64,-0.9,-0.61,-0.57,-0.27,-0.06,-0.77,-0.48,-0.43
LRCH4,0.46,-0.31,0.62,1.21,0.56,-0.16,0.07,0.35,0.25,0.41,-0.43
LRRC59,0.02,-0.31,0.32,0.03,0.4,0.68,-0.31,0.19,0.01,0.2,-0.43
MB21D2,-0.8,0.05,-1.38,-0.94,-0.64,-0.86,0.52,-0.25,-0.71,-0.44,-0.43
MOCS1,-0.92,-0.93,-0.59,-0.44,-1.18,-0.21,0.3,-1.09,-0.81,-0.52,-0.43
MTMR10,-0.61,-0.39,-0.33,-0.26,-1.12,0.25,0.59,-0.45,-0.44,-0.2,-0.43
OGT,2.45,4.27,3.49,4.17,3.05,3.91,1.77,2.86,3.4,3.15,-0.43
OR13D1,0.48,0.4,0.47,0.52,0.66,0.65,0.44,0.62,0.45,0.58,-0.43
OR1D2,0.17,0.13,0.25,0.33,0.14,0.61,0.17,0.48,0.18,0.35,-0.43
ORAOV1,2.7,3.37,3.55,3.36,2.66,3,2.8,3.07,3.21,2.98,-0.43
OTUD6B,0.91,0.53,0.62,0.74,1.36,0.76,0.11,0.95,0.69,0.78,-0.43
PARP9,-0.72,-0.86,-0.93,-0.61,-0.72,-0.79,-0.05,-0.55,-0.84,-0.54,-0.43
PCNA,3.57,4.05,3.53,3.11,3.15,4.72,2.9,3.23,3.72,3.42,-0.43
PIGF,0.55,0.17,0.15,0.35,0.39,0.53,0.36,0.58,0.29,0.44,-0.43
SIM2,-0.82,-0.8,-0.68,-0.76,-0.24,-0.25,-0.76,-0.39,-0.77,-0.48,-0.43
SLC6A17,0.19,-1.13,-0.5,-0.13,-0.33,-0.71,-0.12,0.11,-0.48,-0.23,-0.43
SLC6A8,0.25,0.04,0.82,0.74,0.44,0.41,0.27,0.68,0.37,0.51,-0.43
SMAP1,-0.47,-1.08,-0.28,-0.67,-1.08,-0.97,0.99,0.01,-0.61,-0.34,-0.43
TRIM23,-0.24,-0.88,0.56,0.09,-0.38,-0.06,-0.01,0.48,-0.19,0.02,-0.43
USP28,-0.58,-0.79,-0.3,0.19,-0.82,-0.79,0.63,-0.71,-0.56,-0.3,-0.43
ZFPM2,-0.93,0.45,-0.75,-0.93,0,-0.36,0.17,0.26,-0.41,-0.17,-0.43
ZNF226,-0.58,-0.24,0.05,-0.22,-0.29,0.13,0.1,0.09,-0.26,-0.04,-0.43
ABCC2,-0.46,-0.99,0.09,-0.94,0.07,-0.38,-0.21,0.42,-0.46,-0.21,-0.44
ACVR1,-1.28,-0.89,-0.12,-0.61,-0.12,-1.11,-0.49,-0.04,-0.76,-0.47,-0.44
AFF1,-1.26,-0.52,-0.67,-0.65,-0.01,-0.51,-1.19,-0.25,-0.82,-0.52,-0.44
ANKRD10,-1.42,-1.05,-0.81,-0.63,-0.58,-0.45,-1.6,-0.55,-1.09,-0.76,-0.44
ARHGEF33,-0.49,-0.65,-0.94,-0.18,-0.5,-0.51,0.44,-1.33,-0.69,-0.42,-0.44
ARMC4,-1.02,-0.86,-1.05,-0.63,-1.06,-0.55,-0.34,-0.73,-0.98,-0.66,-0.44
ARRDC3,-1.19,-1.14,-0.85,-0.97,-0.99,-0.61,-0.86,-0.24,-1.06,-0.73,-0.44
ASIC1,-0.09,-0.61,-0.29,-0.51,0.71,-0.62,-0.41,0.35,-0.33,-0.1,-0.44
ATL2,2.08,1.83,0.41,3.43,1,1.5,-0.12,1.43,1.44,1.45,-0.44
C10orf91,0.01,-0.45,0.14,-0.16,-0.09,0.29,-0.46,0.93,-0.1,0.1,-0.44
C15orf54,0.46,0.5,0.28,0.52,0.34,0.53,0.99,0.38,0.41,0.55,-0.44
C4orf40,0.39,-0.1,-0.36,0.12,-0.21,0.32,0.32,0.29,-0.03,0.17,-0.44
C8orf76,-0.17,-0.13,0.25,-0.14,0.19,0.06,0.74,0.02,-0.02,0.17,-0.44
CCDC97,0.07,-0.08,1.13,0.64,0.82,0.41,0.34,0.35,0.37,0.51,-0.44
CD160,-1,0.11,-0.62,-0.92,0.46,-0.61,-0.03,-0.13,-0.5,-0.25,-0.44
CDK4,2.78,-0.41,1.77,-0.03,2.69,0.97,-0.21,3.54,1.38,1.39,-0.44
